zone_id,sensor_id,pipe_id,timestamp,water_supplied_litres,water_consumed_litres,flow_rate_lps,pressure_psi,temperature_c,leak,latitude,longitude
Raipur,S878,P31,2024-07-19 12:52:00,4598.55,3643.18,16.87,32.89,33.64,0,21.248063979932674,81.6372617121497
Bhilai,S898,P64,2024-02-26 23:35:00,2262.16,1828.85,44.76,50.59,26.14,0,21.21918398740405,81.41998296758452
Raipur,S174,P23,2024-10-11 21:08:00,4026.17,2996.38,38.48,41.54,30.97,1,21.257208811478694,81.62011770595868
Bilaspur,S910,P10,2024-01-10 13:01:00,1680.81,1534.42,20.19,58.88,22.8,0,22.08153967711299,82.14121480698431
Bilaspur,S202,P60,2024-02-15 17:07:00,1119.67,858.03,20.79,34.19,37.63,0,22.071677682573856,82.12959407910617
Raipur,S795,P13,2024-09-21 05:52:00,1556.61,1323.51,48.33,15.78,25.24,1,21.245829949725138,81.62172764024389
Bilaspur,S972,P41,2024-05-03 04:08:00,4458.63,3277.17,5.28,58.37,32.05,1,22.089491265653233,82.14671185803425
Durg,S621,P4,2024-08-17 01:27:00,3196.3,2730.74,21.9,57.03,28.03,0,21.199826976898297,81.27950310430832
Durg,S702,P83,2024-11-11 03:50:00,4247.99,3164.1,26.05,30.28,32.58,1,21.18074278168651,81.28869965294031
Durg,S143,P68,2024-03-18 04:21:00,2521.83,2161.89,37.36,32.81,36.28,0,21.191836843918917,81.28905714899464
Raipur,S217,P43,2024-04-19 19:24:00,3764.87,2805.03,37.97,34.56,23.65,0,21.25109684167798,81.62728588009274
Durg,S778,P31,2024-07-29 16:21:00,1228.59,1128.88,34.26,20.44,27.45,0,21.189282255883583,81.27826764027795
Bilaspur,S877,P98,2024-08-08 23:54:00,2225.54,1683.33,24.53,57.12,25.55,0,22.086105468361854,82.14188310639663
Bilaspur,S904,P57,2024-01-06 03:09:00,1508.89,1254.82,44.29,19.81,29.66,1,22.089514434788054,82.14814983082816
Durg,S426,P84,2024-09-19 04:54:00,4105.61,3681.06,29.73,45.46,26.78,0,21.190130685695358,81.2886329050011
Raipur,S347,P54,2024-05-08 03:26:00,1295.41,959.88,21.05,26.0,28.03,0,21.24907494627979,81.63381010868731
Bhilai,S427,P70,2024-03-12 17:31:00,4921.71,4800.41,34.26,45.53,33.32,0,21.20399785772884,81.43490595332402
Bhilai,S243,P12,2024-03-17 19:18:00,3325.91,3130.4,41.06,16.37,30.88,1,21.215049710414192,81.43290916852673
Bhilai,S130,P24,2024-02-08 10:50:00,989.75,927.49,9.89,47.22,33.84,0,21.212569690714254,81.42334480727249
Bhilai,S985,P86,2024-04-29 11:20:00,4727.79,3608.36,33.25,32.44,34.87,1,21.20477921486268,81.42517370070357
Raipur,S691,P60,2024-01-27 21:51:00,922.96,867.8,48.56,15.52,21.84,0,21.255802311824816,81.6251428493758
Raipur,S625,P50,2024-09-19 04:25:00,4738.81,4095.47,29.09,38.56,25.49,0,21.253173189557074,81.62299970136817
Raipur,S717,P93,2024-11-17 05:46:00,4283.51,3814.21,47.22,53.65,23.55,0,21.257917066270046,81.62346718248833
Durg,S835,P51,2024-11-06 19:03:00,2891.23,2044.55,26.18,42.45,28.37,0,21.19328154259991,81.29238483582591
Bilaspur,S307,P30,2024-12-14 01:55:00,863.32,703.44,30.08,31.04,28.89,0,22.082795177446872,82.1303437549038
Durg,S841,P81,2024-02-09 02:31:00,1943.34,1558.43,18.4,19.79,29.5,0,21.192427924753297,81.27580162845744
Bilaspur,S362,P56,2024-07-28 08:14:00,3412.03,3366.44,20.87,28.82,36.65,0,22.081095641314135,82.13477188820617
Bhilai,S335,P39,2024-11-11 02:46:00,3182.33,2297.81,29.61,56.99,33.76,0,21.215022309442844,81.43025906174778
Bilaspur,S203,P90,2024-03-10 18:10:00,3956.69,3777.19,49.91,19.52,20.48,1,22.079139501544855,82.14506669450502
Bhilai,S386,P43,2024-12-03 10:02:00,4139.55,4019.47,20.76,47.52,34.19,0,21.204926839508673,81.42729592057402
Bilaspur,S184,P14,2024-05-15 11:28:00,3913.65,2947.6,34.79,58.22,34.21,0,22.089615054179344,82.13211780868662
Raipur,S767,P15,2024-05-25 01:58:00,2685.44,2170.73,49.43,53.85,27.25,0,21.24261761012346,81.6283762111768
Raipur,S335,P84,2024-11-17 18:54:00,4893.81,4775.22,9.34,46.52,34.0,0,21.246944772568934,81.63040254649218
Bilaspur,S756,P70,2024-06-16 22:13:00,1013.81,804.02,47.21,56.62,26.55,0,22.083040137314377,82.13850787316468
Durg,S450,P71,2024-11-11 19:26:00,4222.87,3330.97,31.49,43.61,34.18,0,21.194390177989785,81.28539985507565
Raipur,S173,P66,2024-10-10 06:40:00,3628.57,2826.59,33.37,42.37,32.6,0,21.2478479686544,81.62150362711448
Raipur,S300,P8,2024-09-20 16:42:00,2013.46,1972.06,37.01,16.78,34.75,0,21.250087632424,81.6363124615464
Bilaspur,S929,P54,2024-10-27 05:32:00,2094.22,1855.58,24.93,56.9,33.17,0,22.08147906984052,82.13158162577604
Durg,S370,P16,2024-04-08 02:00:00,935.38,805.1,10.39,24.3,37.73,0,21.19449505905988,81.28994039364746
Durg,S224,P64,2024-01-27 18:00:00,2585.73,2385.22,13.81,47.62,32.73,0,21.19329688294365,81.27785465017065
Bilaspur,S750,P100,2024-11-12 02:09:00,2553.24,2524.78,25.17,39.56,22.74,0,22.0892938181533,82.14893448732374
Bhilai,S200,P38,2024-06-05 08:57:00,2614.06,2439.7,45.77,29.24,28.82,0,21.20566004314925,81.42613849665874
Bilaspur,S904,P83,2024-08-11 20:41:00,2713.06,2204.9,15.15,53.95,37.07,0,22.078866375812765,82.14731407247832
Durg,S970,P9,2024-02-02 16:38:00,4392.34,3134.83,36.61,26.98,21.9,1,21.187145151048437,81.28543415213578
Bilaspur,S515,P47,2024-10-21 05:32:00,4723.28,4685.78,5.71,30.54,28.29,0,22.079294341768772,82.1402060551758
Bhilai,S974,P95,2024-07-28 03:07:00,4118.28,3648.43,21.04,26.89,29.82,0,21.215689696876336,81.41946196346296
Bilaspur,S798,P80,2024-10-08 22:21:00,2519.8,2331.42,33.55,41.47,22.88,0,22.074797462627778,82.1337661268524
Bilaspur,S853,P27,2024-10-18 15:18:00,985.75,852.13,31.04,40.31,22.46,0,22.075959414619607,82.12921862202654
Bhilai,S764,P41,2024-07-15 16:45:00,4917.11,4522.7,41.34,51.76,28.5,0,21.201934036941044,81.43635710552758
Bhilai,S299,P69,2024-08-10 20:01:00,4916.03,4217.67,41.81,46.03,30.93,0,21.210461231510145,81.43512958899
Bilaspur,S414,P1,2024-12-04 23:50:00,2821.3,2534.09,44.2,49.01,36.3,0,22.07662247004788,82.14627195785539
Bhilai,S654,P44,2024-05-29 12:01:00,2192.32,1542.0,28.23,30.47,29.0,0,21.207203544947646,81.43582961962925
Durg,S925,P49,2024-12-07 03:06:00,4271.59,4207.8,29.98,23.9,22.59,0,21.19501367379271,81.27604671185576
Raipur,S100,P12,2024-02-24 12:09:00,3053.22,2251.0,40.55,20.23,22.95,0,21.251346725821858,81.63176327215976
Durg,S620,P83,2024-02-29 09:59:00,4002.39,3550.9,49.09,54.32,37.88,0,21.19390090759428,81.29116643405096
Bhilai,S212,P88,2024-02-07 21:39:00,4689.47,4124.54,37.94,41.81,30.78,0,21.212568133120257,81.42150950818923
Bhilai,S316,P48,2024-03-29 22:55:00,2198.19,2001.45,23.9,47.4,24.7,0,21.20078156249924,81.43404129375493
Raipur,S968,P38,2024-02-07 08:02:00,4631.83,3626.69,9.14,22.36,22.37,1,21.259538162789937,81.63724170436346
Bhilai,S745,P74,2024-11-03 18:24:00,2464.64,1801.37,45.8,50.59,27.91,0,21.208910912297096,81.41899457463005
Bilaspur,S765,P36,2024-09-02 20:21:00,4074.48,3340.0,15.79,30.22,28.91,0,22.088564494494115,82.14192065817771
Raipur,S490,P16,2024-06-02 20:12:00,1047.83,1007.28,42.58,20.69,37.57,0,21.253293578167092,81.62683941373055
Raipur,S943,P83,2024-05-07 16:34:00,4017.78,3308.09,34.02,40.01,24.47,0,21.24691259757309,81.6264672186539
Raipur,S228,P11,2024-02-23 12:11:00,3703.8,2943.7,8.71,49.67,22.85,0,21.244616958518527,81.62548574005336
Bhilai,S298,P68,2024-10-14 11:38:00,1480.45,1413.52,22.75,41.37,33.02,0,21.207296278651235,81.42308800222234
Bilaspur,S464,P25,2024-01-31 06:51:00,1948.02,1784.45,47.25,45.21,22.96,0,22.082679219479612,82.14003327702878
Bhilai,S888,P66,2024-09-03 07:04:00,2643.52,2195.04,18.1,20.29,34.85,0,21.20734404634735,81.42056837761605
Raipur,S488,P59,2024-12-26 14:13:00,1125.04,1035.76,28.47,33.32,37.52,0,21.25648423527722,81.62651351108053
Durg,S349,P31,2024-02-14 10:06:00,1429.25,1235.48,45.21,39.36,28.51,0,21.191553451723326,81.29279621769317
Durg,S539,P56,2024-01-21 11:51:00,4432.82,4395.62,25.35,40.14,25.28,0,21.186095175417133,81.28575342530044
Bilaspur,S628,P90,2024-09-03 23:24:00,2122.29,1597.22,21.55,31.21,24.14,0,22.074454946865792,82.1421366377788
Durg,S804,P96,2024-01-15 04:00:00,4391.32,3979.89,24.26,58.15,35.72,0,21.196562775593573,81.29056755242036
Bhilai,S408,P85,2024-02-22 18:15:00,1249.71,995.51,49.59,33.51,20.43,0,21.205649591824375,81.431942433571
Durg,S697,P73,2024-04-04 21:27:00,4072.04,3530.77,14.28,55.97,33.52,0,21.18851642954203,81.28011498160951
Bhilai,S229,P94,2024-11-14 22:26:00,1315.03,1272.24,42.62,50.75,31.6,0,21.218626738386,81.42089568894528
Bhilai,S914,P55,2024-04-07 16:44:00,3398.49,2540.1,27.32,22.5,29.14,0,21.207285109570723,81.4321267379248
Bhilai,S311,P83,2024-08-08 19:05:00,1617.35,1481.84,26.49,19.02,22.08,0,21.217386664888377,81.42612805879621
Bhilai,S533,P51,2024-03-05 08:11:00,1488.02,1375.19,12.2,42.33,34.7,0,21.201476374382032,81.42576567294644
Durg,S703,P89,2024-06-04 18:54:00,2206.21,1560.03,41.92,24.01,20.86,1,21.181935059398548,81.28554348032212
Durg,S211,P24,2024-05-23 21:24:00,3389.43,2996.03,21.3,15.79,34.27,0,21.181315179775975,81.29355112807774
Durg,S996,P72,2024-02-14 15:20:00,3803.38,3296.06,26.83,25.53,30.82,0,21.18410587143119,81.29018048224407
Bilaspur,S912,P40,2024-08-09 17:42:00,3199.99,2545.01,28.76,47.35,33.07,0,22.072384946316152,82.14890014853307
Bilaspur,S236,P1,2024-02-19 06:09:00,2652.17,2015.94,40.8,40.99,35.08,0,22.085345439815466,82.14053675802118
Raipur,S991,P51,2024-05-08 14:36:00,2418.11,1822.11,47.85,56.16,31.12,0,21.24697180496492,81.62027630824818
Bilaspur,S825,P38,2024-10-15 07:51:00,2031.71,1428.54,12.6,53.84,25.71,0,22.07469378148918,82.12957798309266
Bilaspur,S662,P78,2024-01-12 23:08:00,4106.11,3129.01,40.26,20.36,22.54,1,22.08393366745361,82.13054230158569
Bhilai,S501,P2,2024-06-10 00:11:00,1569.56,1424.26,16.17,19.17,25.02,0,21.21866614016216,81.42418202988723
Raipur,S766,P7,2024-07-02 12:59:00,1606.61,1538.51,22.03,41.91,32.88,0,21.253680426738015,81.62631555359646
Durg,S112,P58,2024-08-05 16:07:00,2831.84,2189.72,48.1,31.2,24.51,0,21.18319009212667,81.29403249849287
Bhilai,S177,P73,2024-10-30 06:13:00,1027.06,955.52,16.52,56.12,23.75,0,21.21318666153196,81.43277852740458
Bilaspur,S702,P29,2024-08-21 07:10:00,4571.14,4095.93,30.16,54.6,37.35,0,22.081704008045623,82.14230128576693
Bhilai,S963,P22,2024-11-06 13:02:00,2859.79,2521.25,8.28,57.59,37.64,0,21.217644908937462,81.42117509571548
Bilaspur,S295,P90,2024-10-19 19:55:00,4017.17,3962.93,43.28,34.04,26.48,0,22.081103099521922,82.1371647358777
Durg,S700,P30,2024-02-26 08:03:00,2455.35,2223.91,17.07,57.93,29.19,0,21.19293497339349,81.27713371751796
Durg,S795,P96,2024-03-06 13:07:00,4765.6,3861.68,33.01,35.97,32.1,0,21.18051352996295,81.27871450073859
Bilaspur,S994,P80,2024-09-27 18:53:00,1558.02,1432.52,30.88,17.82,26.49,0,22.077507245969976,82.13961631276237
Raipur,S127,P92,2024-11-10 07:36:00,2182.27,1901.68,15.65,33.74,23.84,0,21.247613204560395,81.62539431279484
Raipur,S286,P63,2024-06-29 14:32:00,4585.83,4253.66,36.34,17.13,26.0,0,21.248817872051735,81.63104869921848
Raipur,S779,P64,2024-11-16 10:31:00,4140.77,3369.34,22.42,28.45,22.01,0,21.259705623715835,81.63232410392155
Durg,S978,P24,2024-05-12 14:37:00,1302.86,991.95,18.43,53.74,26.36,0,21.191505300255447,81.27790857030622
Durg,S956,P82,2024-01-14 22:08:00,3614.88,3484.26,48.48,55.58,33.47,0,21.200218911767973,81.28082612462144
Raipur,S682,P1,2024-01-17 01:19:00,4768.36,3767.64,26.22,37.77,31.37,0,21.25373240068882,81.62066610936807
Raipur,S940,P32,2024-03-28 14:59:00,1551.78,1471.17,46.46,43.32,37.95,0,21.2477236025639,81.63440225237603
Bilaspur,S390,P9,2024-08-18 15:33:00,850.86,716.56,22.62,20.16,31.31,0,22.07988365171483,82.14267926518778
Bhilai,S874,P51,2024-10-22 14:07:00,1116.22,834.57,7.83,48.98,32.79,0,21.21232186613475,81.41907237959323
Bilaspur,S330,P8,2024-09-22 02:06:00,2359.57,1665.72,14.89,16.48,29.55,0,22.08176379187568,82.13265629935793
Bhilai,S798,P39,2024-03-19 00:02:00,3437.64,2613.41,47.13,40.0,28.42,0,21.20614758339598,81.4262690862132
Raipur,S527,P62,2024-06-28 08:38:00,1307.2,1205.37,48.07,48.58,21.55,0,21.25136245306737,81.63460782452647
Raipur,S570,P29,2024-05-07 21:27:00,1743.57,1682.76,18.44,24.8,27.1,0,21.24535810930415,81.62773511617469
Raipur,S363,P70,2024-02-07 02:30:00,4758.96,4040.79,34.87,50.77,20.11,0,21.249891219572454,81.63186346616133
Durg,S483,P12,2024-05-13 13:42:00,4224.77,3129.59,21.33,57.42,35.31,1,21.196672544108473,81.28168347812775
Raipur,S295,P99,2024-08-11 18:24:00,4731.27,4343.81,47.92,26.81,22.2,0,21.260572781406907,81.6234881093694
Bilaspur,S312,P63,2024-10-09 19:42:00,2351.37,2006.73,38.62,15.43,26.49,0,22.078548663229824,82.14651398422517
Durg,S100,P81,2024-01-20 11:45:00,2998.87,2867.66,44.25,36.47,37.45,0,21.184571948273604,81.29373748630695
Bhilai,S834,P24,2024-08-06 13:19:00,4173.95,3615.24,17.85,33.39,35.64,0,21.21416040080328,81.43551711821027
Durg,S530,P40,2024-03-04 11:16:00,3694.6,2869.61,42.71,17.22,35.33,1,21.184166177916545,81.27741369441202
Bilaspur,S356,P18,2024-10-19 02:02:00,3820.09,3233.43,6.83,38.59,23.4,0,22.073062518134176,82.14762196380927
Bilaspur,S555,P3,2024-10-25 17:03:00,3695.67,3428.02,48.78,29.9,27.64,0,22.08607403853683,82.13910109180965
Bhilai,S281,P82,2024-07-11 16:54:00,2124.23,2047.71,23.31,43.56,25.77,0,21.207720499269204,81.42520954909713
Durg,S304,P100,2024-02-05 16:05:00,1750.15,1654.95,6.53,46.23,20.88,0,21.186616228011438,81.28013465994906
Durg,S493,P62,2024-09-10 14:17:00,2299.45,2143.64,7.17,33.46,26.39,0,21.184775907597462,81.28376683829167
Durg,S694,P80,2024-04-04 13:07:00,2875.21,2804.29,23.83,44.06,22.42,0,21.188836282900496,81.27996502626472
Bilaspur,S409,P8,2024-08-26 11:24:00,2660.77,2614.68,12.37,33.32,32.75,0,22.079179257764917,82.14748518399946
Raipur,S569,P2,2024-04-09 08:47:00,4239.35,4185.95,32.04,26.66,25.13,0,21.243229609256904,81.622599715376
Durg,S832,P69,2024-09-24 07:17:00,2907.82,2814.5,38.88,28.57,21.3,0,21.18056580802388,81.28438754502581
Durg,S988,P83,2024-07-20 02:59:00,4857.19,4261.28,9.48,55.04,32.1,0,21.200127369896016,81.29153015832583
Bilaspur,S491,P89,2024-09-21 15:20:00,1979.01,1721.59,21.53,15.23,20.16,0,22.07193472375047,82.13131142853335
Bilaspur,S877,P48,2024-06-17 12:20:00,3171.13,2920.45,45.59,26.65,35.58,0,22.073829256739,82.1464905722908
Bhilai,S764,P27,2024-01-07 18:26:00,4727.63,4181.15,26.01,46.92,30.52,0,21.206904265606482,81.4244295096709
Raipur,S648,P59,2024-08-11 11:55:00,3721.17,2835.72,36.11,26.95,29.48,0,21.25491823778351,81.63114176968078
Raipur,S606,P87,2024-10-30 08:46:00,1647.9,1510.51,36.89,44.88,23.45,0,21.253067991235543,81.62798024060955
Raipur,S106,P9,2024-07-03 00:26:00,1465.23,1081.29,42.94,56.33,29.97,0,21.248109136908074,81.63745811953855
Durg,S987,P89,2024-08-05 04:38:00,4535.91,3524.37,27.76,57.78,30.7,1,21.188011469299447,81.27760140675709
Durg,S156,P64,2024-07-31 21:09:00,2905.67,2536.98,34.35,21.76,25.21,0,21.196438574029006,81.28544332528082
Durg,S932,P80,2024-03-18 15:55:00,1818.31,1381.86,38.13,19.86,24.35,0,21.192081075813316,81.2791280834694
Durg,S780,P91,2024-04-07 16:16:00,1737.15,1429.75,33.6,49.93,23.23,0,21.19702394009804,81.28223704644982
Bhilai,S215,P29,2024-01-11 12:45:00,2074.81,1627.41,6.13,29.62,28.28,0,21.20566764804595,81.43819052404584
Bilaspur,S637,P93,2024-01-22 20:58:00,1745.01,1246.82,32.57,29.26,26.59,0,22.075916959399915,82.14553458966874
Durg,S680,P84,2024-03-17 18:26:00,4873.4,3987.09,29.8,23.66,34.24,0,21.194200968221125,81.27577631541057
Bhilai,S924,P46,2024-04-29 12:14:00,2492.88,2019.4,30.03,42.51,34.33,0,21.19937755701327,81.42077274294141
Bhilai,S634,P68,2024-07-04 17:27:00,2215.8,1603.26,48.7,32.84,32.99,0,21.20760860561898,81.42599151991796
Raipur,S424,P97,2024-12-03 22:23:00,3420.11,2593.31,25.06,55.13,27.72,0,21.251972555276673,81.62734001115722
Raipur,S875,P88,2024-10-01 02:48:00,2906.08,2414.55,36.3,15.25,35.77,0,21.243696235688247,81.62079209087933
Bhilai,S996,P94,2024-12-16 19:54:00,3269.76,2818.1,42.16,52.67,20.34,0,21.217224497916444,81.43244416390371
Bilaspur,S468,P80,2024-10-27 07:34:00,2359.88,1937.18,49.27,45.35,33.36,0,22.07574158941353,82.13217361975533
Bilaspur,S595,P44,2024-07-22 19:54:00,2475.76,2057.0,31.02,18.73,26.53,0,22.085858931933576,82.14815718062128
Durg,S638,P41,2024-08-12 16:48:00,3012.84,2163.42,45.54,31.51,27.22,0,21.191742554329306,81.27887582818653
Durg,S367,P11,2024-09-18 09:22:00,3648.28,2650.76,42.43,38.28,25.68,0,21.192652572039695,81.27854535591979
Bhilai,S387,P48,2024-01-04 08:36:00,4747.4,4076.95,32.74,29.48,27.48,0,21.21896628560484,81.42900256402439
Raipur,S289,P3,2024-05-20 13:37:00,1861.98,1641.03,30.94,53.6,25.92,0,21.254209499605544,81.61992713919194
Raipur,S126,P58,2024-08-22 13:07:00,3277.71,2589.3,48.36,35.37,28.12,0,21.242934478536295,81.63616148008205
Durg,S551,P37,2024-12-27 01:28:00,1352.96,1062.76,23.94,51.21,31.11,0,21.199995664818115,81.28657566238024
Bhilai,S680,P81,2024-12-03 17:22:00,3565.43,2586.96,22.95,19.81,33.56,0,21.21618088759643,81.42185894809904
Durg,S292,P83,2024-01-23 17:06:00,3509.3,3075.36,47.62,38.95,28.51,0,21.18752734074991,81.27955924034727
Durg,S988,P29,2024-03-02 17:01:00,820.7,735.38,41.66,28.81,32.74,0,21.19436721323617,81.29150431823882
Bilaspur,S549,P57,2024-08-08 00:17:00,3173.95,2786.56,30.87,46.37,22.0,0,22.071935826011302,82.12944227283995
Raipur,S621,P74,2024-03-29 03:05:00,4986.26,4963.56,39.61,20.66,32.17,0,21.254159589753048,81.61969420983088
Bhilai,S229,P38,2024-10-01 01:30:00,1127.33,819.09,37.57,43.25,31.05,0,21.217936708989082,81.41854066574307
Durg,S365,P37,2024-02-09 10:11:00,932.66,830.21,32.64,42.23,33.73,0,21.199621360939094,81.28527939847959
Raipur,S983,P54,2024-02-27 04:41:00,1638.26,1327.08,12.8,30.23,37.63,0,21.260567375246826,81.633850232662
Bilaspur,S837,P76,2024-06-02 01:43:00,857.89,695.76,44.62,40.78,30.19,0,22.079488275906094,82.13827998732604
Bilaspur,S320,P70,2024-11-16 15:18:00,3617.58,2644.89,37.78,16.73,22.05,0,22.070247473745635,82.14405685311112
Durg,S979,P72,2024-04-15 14:46:00,3599.63,2694.06,19.4,39.44,34.33,0,21.182570163366805,81.29125553915374
Bilaspur,S636,P58,2024-12-25 10:08:00,1239.13,1215.94,33.62,46.72,33.42,0,22.084475591405877,82.13758779731016
Bhilai,S609,P1,2024-05-05 22:05:00,4442.62,4308.37,10.42,46.7,33.88,0,21.20583063458993,81.42645195535415
Durg,S182,P84,2024-02-28 12:04:00,3611.03,3014.69,12.1,28.65,22.97,0,21.18040413805573,81.28437436156163
Durg,S249,P38,2024-12-24 03:59:00,1404.41,1082.99,36.8,23.88,21.55,0,21.18834946436905,81.2809855536761
Durg,S155,P92,2024-02-03 03:04:00,3427.66,3390.76,48.34,53.59,31.32,0,21.18468808616872,81.27944095846497
Raipur,S702,P22,2024-06-27 21:19:00,2738.64,2127.13,45.35,21.34,32.98,0,21.259204925742793,81.62456804109526
Durg,S167,P18,2024-03-05 18:14:00,1038.73,904.11,8.17,40.02,30.33,0,21.195020548195444,81.29470704160256
Durg,S163,P2,2024-05-31 15:26:00,2700.27,2479.97,41.12,52.47,27.53,0,21.197322738903818,81.27886348153554
